WKT,ad,açıklama
"LINESTRING (31.03244 38.129105, 31.030704 38.129607, 31.0302 38.129554, 31.026883 38.127689, 31.026264 38.127742, 31.025837 38.126999, 31.025522 38.126839, 31.024667 38.126954, 31.024401 38.127011, 31.024192 38.126945, 31.023941 38.126671, 31.02344 38.126518, 31.023063 38.126485, 31.022715 38.126441, 31.021768 38.125959, 31.02135 38.125712, 31.021114 38.125437, 31.020921 38.124642, 31.020642 38.123691, 31.02014 38.123424, 31.018934 38.123337)",,
"LINESTRING (31.018934 38.123337, 31.015752 38.124266, 31.015721 38.124051, 31.013633 38.123994, 31.012819 38.124522, 31.012271 38.124915, 31.011134 38.125067, 31.010436 38.125433, 31.009678 38.126221, 31.009435 38.126883, 31.00946 38.127534, 31.009549 38.127985, 31.009778 38.128407)",,
"LINESTRING (31.009778 38.128407, 31.00944 38.130017, 31.00905 38.131027, 31.008947 38.131821, 31.008556 38.132308, 31.007696 38.132795, 31.007581 38.133039, 31.007776 38.133418, 31.008166 38.133724, 31.007534 38.134089, 31.007182 38.13448, 31.006933 38.135589, 31.006538 38.135867, 31.005829 38.136294, 31.004897 38.136456, 31.004029 38.136258, 31.002328 38.136904, 31.002096 38.137529, 31.001643 38.137818, 31.001023 38.137951, 31.000459 38.137618, 31.000178 38.137085, 30.999815 38.136529, 30.999137 38.136352, 30.998629 38.135842, 30.997947 38.135578, 30.997514 38.134751, 30.99704 38.135268, 30.996689 38.135672, 30.996146 38.135696, 30.995751 38.135296, 30.995185 38.134652, 30.994937 38.134117, 30.994257 38.133696, 30.993632 38.133719, 30.993463 38.133208, 30.992983 38.133074, 30.993275 38.13254, 30.993044 38.132296, 30.991992 38.132496)",,
"LINESTRING (30.991992 38.132496, 30.991673 38.132417, 30.991179 38.132531, 30.990946 38.132417, 30.990852 38.132062, 30.990678 38.131845, 30.990656 38.131485, 30.990555 38.131314, 30.990642 38.131022, 30.99062 38.130742, 30.990789 38.130406, 30.990819 38.130218, 30.990482 38.130051, 30.990295 38.129652)",,
"LINESTRING (30.990295 38.129652, 30.990372 38.129407, 30.990507 38.129082, 30.990395 38.12884, 30.990102 38.128627, 30.990005 38.128332, 30.990081 38.127949, 30.989931 38.127766, 30.989697 38.127606, 30.989728 38.127352, 30.989826 38.127093)",,
"LINESTRING (30.989826 38.127093, 30.98974 38.1268, 30.989622 38.126724, 30.988956 38.126639, 30.988556 38.126526, 30.988101 38.126226, 30.987869 38.126113, 30.987299 38.126049, 30.987103 38.125817, 30.987076 38.125445, 30.987146 38.124947, 30.986889 38.124923, 30.986327 38.125445, 30.986291 38.125564, 30.986327 38.126, 30.986139 38.126182, 30.985925 38.126266, 30.985867 38.126277)",,
"LINESTRING (30.985867 38.126277, 30.985522 38.125049)",,
"LINESTRING (30.985522 38.125049, 30.984723 38.122438)",,
"LINESTRING (30.984723 38.122438, 30.985134 38.118961, 30.985188 38.118529)",,
"LINESTRING (30.985495 38.118315, 30.986697 38.11762, 30.987094 38.117475, 30.988557 38.117361, 30.989123 38.117262, 30.990399 38.117109, 30.991269 38.117166, 30.991933 38.117056, 30.992164 38.117017, 30.992805 38.117082)",,
"LINESTRING (30.992805 38.117082, 30.993425 38.117077)",,
"LINESTRING (30.993425 38.117077, 30.993704 38.11678, 30.995148 38.11585, 30.995114 38.115558, 30.995114 38.115332, 30.995445 38.115006, 30.996492 38.114198, 30.996766 38.112944)",,
"LINESTRING (30.996766 38.112944, 30.997089 38.111281, 30.998106 38.109744, 30.9986 38.108903, 30.998519 38.108115)",,
"LINESTRING (30.998519 38.108115, 31.000627 38.107831, 31.000949 38.107825, 31.001833 38.107598, 31.003523 38.107149, 31.003163 38.106293, 31.002936 38.105902, 31.002348 38.10482, 31.002072 38.104294, 31.001023 38.102463)",,
"LINESTRING (31.001316 38.099681, 31.001487 38.099448, 31.002248 38.0991, 31.003144 38.099902, 31.003395 38.099885, 31.003577 38.09946)",,
"LINESTRING (31.003577 38.09946, 31.00262 38.097688, 30.998824 38.089086, 30.999416 38.088806, 30.999644 38.088574, 30.999797 38.088015, 31.000177 38.0869, 31.000305 38.086688, 31.001088 38.085219, 31.005449 38.089608, 31.006583 38.090863)",,
"LINESTRING (31.006583 38.090863, 31.013108 38.098671)",,
"LINESTRING (31.013108 38.098671, 31.01738 38.104217)",,
"LINESTRING (31.01738 38.104217, 31.021505 38.109082)",,
"LINESTRING (31.021505 38.109082, 31.025312 38.114312)",,
"LINESTRING (31.025312 38.114312, 31.028311 38.118684)",,
"LINESTRING (31.028311 38.118684, 31.02923 38.120302, 31.029852 38.121943)",,
"LINESTRING (31.03244 38.129105, 31.029852 38.121943)",,
"LINESTRING (30.95806 38.043221, 30.958599 38.043985)",,
"LINESTRING (30.985495 38.118315, 30.985188 38.118529)",,
"LINESTRING (31.001023 38.102463, 31.000758 38.101961, 31.000345 38.101369, 31.000005 38.100456, 31.00005 38.100141, 31.000677 38.099968, 31.000925 38.099878, 31.001316 38.099681)",,
